id	speaker	n_frames	tgt_text	unit
librilm-9899	librilm	323	<SIL> AH B EH T R OW TH AH L <SIL> AH W EH D IH NG AO R <SIL> AH K R IH S AH N IH NG <SIL> AO R DH AH M IH R P R AA K S IH M AH T IY AH V AH G IH T AA R IH Z S AH F IH SH AH N T AH K EY ZH AH N AH N D IH F DH AH AH K EY ZH AH N <SIL> L AE K S S EH N D <SIL> F AO R DH AH <SIL> G IH T AA R AH N D D AE N S EH N IY W EY <SIL>	0
librilm-9900	librilm	449	<SIL> AH B EH T R OW TH AH L B R OW K AH N AO F W AA Z <SIL> AH TH IH NG DH AE T HH AE D HH AE P AH N D <SIL> B IH F AO R AH N D M AY T HH AE P AH N AH G EH N IH T <SIL> W AA Z <SIL> AH T R AY F AH L IY V IH N AH M IH R <SIL> N AH TH IH NG IH F OW N L IY HH AH N ER W ER AH N T AH CH T B AY <SIL> IH T IH F OW N L IY <SIL> AA T AH M AA R K UH D S T EY K <SIL> HH IH Z <SIL> L AY F AH P AA N HH IH Z <SIL> AH N IH M P IY CH AH B AH L HH AH N ER <SIL>	0
librilm-9901	librilm	211	<SIL> AH B EH T R OW TH AH L S EH R AH M OW N IY AH K AO R D IH NG L IY IH Z DH AH <SIL> IH M IY D IY AH T AH K EY ZH AH N AH V DH AH K AH M IH NG T AH G EH DH ER AH V AW ER <SIL> AH K W EY N T AH N S IH Z <SIL>	0
librilm-9902	librilm	45	<SIL> AH B EH T R OW TH AH L <SIL> D EY <SIL>	0
librilm-9903	librilm	141	<SIL> AH B EH T R OW TH AH L HH IY R <SIL> IH Z AO L M OW S T AE Z B AY N D IH NG AH N D K W AY T AE Z S AA L AH M AE Z AH M EH R IH JH <SIL>	0
librilm-9904	librilm	59	<SIL> AH B EH T R OW TH AH L <SIL> IH Z S EY K R AH D <SIL>	0
librilm-9905	librilm	79	<SIL> AH B EH T R OW TH AH L IH Z <SIL> S AH M TH IH NG HH EH V AH N L IY <SIL>	0
librilm-9906	librilm	225	<SIL> AH <SIL> B EH T R OW TH AH L R IH NG W AA Z <SIL> P ER CH AH S T AH N D DH EH N HH ER K AA N SH AH N S B IY IH NG AH P IY Z D SH IY <SIL> G EY V HH ER S EH L F K AH M P L IY T L IY <SIL> T UW <SIL> HH ER L AH V ER <SIL>	0
librilm-9907	librilm	288	<SIL> AH B EH T R OW TH AH L T UH K <SIL> P L EY S AO L <SIL> W AA Z HH AA R M AH N IY AH N D F AO R <SIL> AH <SIL> T AY M N OW M AO R W AA Z S EH D AH V D IH S IH N ER SH IH T IH NG <SIL> M AE D AH M D IY <SIL> L AA <SIL> P EH L T R IY AO R P AH T IH NG HH ER IH N W AO R D SH IH P <SIL>	0
librilm-9908	librilm	139	<SIL> AH <SIL> B EH T R OW TH AH L W IY HH AE V B IH N T UW AH B AO L AH V W IH CH AY M AH S T G IH V Y UW AH D IH S K R IH P SH AH N <SIL>	0
librilm-9909	librilm	491	<SIL> AH <SIL> B EH T R OW TH AH L <SIL> W IH CH HH AE D <SIL> T EY K AH N P L EY S AA N DH AH <SIL> P R IY V IY AH S IY V N IH NG G EY V K AA Z F AO R P L EH N T AH F AH L SH R AH G IH NG AH V SH OW L D ER Z B IH K AO Z <SIL> DH AH <SIL> JH EH N T AH L M AH N AE Z Y EH T HH EH L D N OW <SIL> R IH S P EH K T AH B AH L P AH Z IH SH AH N IH N L AY F AH N D DH AH F IY AE N S IY AE Z S EH V R AH L F IY M EY L <SIL> F R EH N D Z AH S ER T AH D AH V EH R IY <SIL> AH N S ER T AH N W AH N <SIL>	0
librilm-9910	librilm	269	<SIL> AH B EH T R OW TH AH L <SIL> W IH TH AW T AH N D IY V IH N <SIL> AH G EH N S T DH AH K AH N S EH N T AH V P EH R AH N T S W AA Z S AH M TH IH NG K W AY T AW T S AY D AH V DH AH <SIL> Y AH NG <SIL> L EY D IY Z P AW ER AH V <SIL> K AA M P R IY HH EH N SH AH N <SIL>	0
librilm-9911	librilm	29	<SIL> AH B EH T R AH TH <SIL>	0
librilm-9912	librilm	127	<SIL> AH <SIL> B EH T R AH TH B R AY D AO T T UW B IY HH AE P IY Y UW <SIL> AA R AO L W EY Z <SIL> T EH L IH NG M IY S OW <SIL>	0
librilm-9913	librilm	108	<SIL> AH <SIL> B EH T R AH TH <SIL> G ER L <SIL> IH Z W AH N TH IH NG AH W AY F K W AY T AH N AH DH ER <SIL>	0
librilm-9914	librilm	168	<SIL> AH B EH T R AH TH L AH V ER K AE N AA T T AA L ER EY T EH N IY <SIL> AH S P ER ZH AH N K AE S T AH P AA N <SIL> DH AH F EH R S EH K S S EH D JH AO R JH AH Z <SIL>	0
librilm-9915	librilm	61	<SIL> AH B EH T R AH TH <SIL> L AH V ER Z F EH R W EH L <SIL>	0
librilm-9916	librilm	335	<SIL> AH B EH T R AH TH Y AH NG <SIL> M AE N <SIL> AO R HH IH Z F IY M EY L R EH L AH T IH V Z <SIL> AH S IH S T IH NG <SIL> HH IH M <SIL> W AA Z AH K AH S T AH M D T UW M EY K AH <SIL> P R EH Z AH N T AH V W AH N <SIL> AO R M AO R P EH T IY K OW T S T UW HH IH Z S W IY T HH AA R T <SIL> T UW IH N K R IY S HH ER W AO R D R OW B <SIL>	0
librilm-9917	librilm	24	<SIL> AH B EH T ER <SIL>	0
librilm-9918	librilm	182	<SIL> AH B EH T ER AH F AY N ER <SIL> AH <SIL> N OW B L ER F EH L OW DH AE N HH IY <SIL> N EH V ER L AY V D AH N D DH AE T S W AH T AY W AA N T Y UW <SIL> F EH L OW Z T UW N OW <SIL>	0
librilm-9919	librilm	254	<SIL> AH B EH T ER AH K AW N T AH V AH <SIL> M IH L AH T EH R IY AE K SH AH N DH AE N <SIL> DH AE T W IH CH <SIL> S M OW L IH T G IH V Z <SIL> AH V DH AH B AE T AH L <SIL> AH V DH AH B OY N <SIL> IH T W UH D <SIL> B IY HH AA R D <SIL> T UW F AY N D <SIL>	0
librilm-9920	librilm	117	<SIL> AH B EH T ER AH K AW N T AH V <SIL> DH AH SH UH G ER DH AE N <SIL> AY K UH D HH AE V IH K S P EH K T AH D <SIL>	0
librilm-9921	librilm	135	<SIL> AH B EH T ER AH K AW N T <SIL> AH V DH IH S IH N S AH D AH N T W AA Z W AY D L IY P R IH N T AH D <SIL> AE T DH AE T T AY M <SIL>	0
librilm-9922	librilm	251	<SIL> AH B EH T ER AH K AW N T T UW DH AE N DH AH N UW Z P EY P ER W AH N F UH L ER IH G Z AE K T ER <SIL> M AO R D IH T EY L D <SIL> B AE K T AH P B AY F IH G Y ER Z D AW N TH R IY L AO NG SH IY T S AH N D HH AE F W EY <SIL> D AW N AH F AO R TH <SIL>	0
librilm-9923	librilm	84	<SIL> AH B EH T ER AH K W EY N T AH N S W IH L S UW N D IH S K AH V ER DH IH S <SIL>	0
librilm-9924	librilm	258	<SIL> AH B EH T ER <SIL> AH K W EY N T AH N S W IH DH <SIL> DH AH AA P ER EY SH AH N N OW N T UW <SIL> M AA D ER N Z <SIL> AE Z S P AY K IH NG AH P IY S <SIL> W UH D <SIL> HH AE V EH N EY B AH L D HH IH M T UW M EY K DH AH B L OW IH R EH P ER AH B AH L <SIL>	0
librilm-9925	librilm	595	<SIL> AH B EH T ER AH K W EY N T AH N S <SIL> W IH DH DH IH S L AE N D AH V <SIL> F R IY D AH M W IH L SH OW Y UW <SIL> DH AE T F AH D EH L AH T IY AH N D HH AH N ER B IH T W IY N HH AH Z B AH N D AH N D W AY F <SIL> AA R <SIL> HH IY R N OW <SIL> R EH R IH K S EH P SH AH N Z B AH T DH AH Y UW N AH V ER S AH L R UW L B AH T Y UW <SIL> M AH S T <SIL> N OW <SIL> AE T <SIL> W AH N S DH AE T W IY D UW N AA T DH EH R F AO R EH K S ER S AY Z EH N IY S UW P ER HH Y UW M AH N V ER CH UW B AH T S IH M P L IY AE K T IH N K AH N F AO R M AH T IY W IH DH DH AH R IY L N EY CH ER <SIL> AH V M AE N <SIL>	0
librilm-9926	librilm	176	<SIL> AH B EH T ER AE D M AY R ER DH AE N <SIL> M IY SH IY <SIL> W IH L N AA T F AY N D <SIL> IH N HH ER T AW N K AW N S AH L <SIL> N AO R IH N HH AY ER S AH S AY AH T IY <SIL>	0
librilm-9927	librilm	143	<SIL> AH B EH T ER AH D V ER T AH Z M AH N T DH AE N DH AH <SIL> K AO R N EH T S OW L OW K UH D N AA T HH AE V B IH N <SIL> D IH V AY Z D <SIL>	0
librilm-9928	librilm	213	<SIL> AH B EH T ER <SIL> AO L R AW N D <SIL> M AE N DH AE N S IY S AH L AY SH UH D <SIL> HH OW P S EH D D EY V IH D <SIL> L IH N T AH N W IH DH AH S AW N D L AY K <SIL> AH S N AO R T <SIL> AH V <SIL> R AE TH <SIL>	0
librilm-9929	librilm	140	<SIL> AH B EH T ER AO L T ER K UH D <SIL> N AA T HH AE V B IH N <SIL> S AH L EH K T AH D <SIL> IH N AO L DH AE T V AE S T R IY JH AH N <SIL>	0
librilm-9930	librilm	423	<SIL> AH B EH T ER AE N K AY N D ER W UH M AH N DH AE N M IH S IH Z <SIL> HH Y UW IH T Y UW W UH D AH N T F AY N D N AA T IH F Y UW W AA Z <SIL> T UW <SIL> W IH DH D IH F AH K AH L T IY DH AH S T R EY N JH ER AH B T EY N D AH F Y UW D IH T EY L Z AH V DH AH AO R AH JH AH N AH N D K AO R S <SIL> AH V <SIL> DH AH IH L N AH S D IH T EY L Z <SIL> HH OW L IY M IH S L IY D IH NG B AH T D IH V AY Z D T UW R IY AH SH UH R <SIL>	0
librilm-9931	librilm	211	<SIL> AH B EH T ER AE NG K ER AH JH <SIL> DH AE N <SIL> DH IH S P AA R T AH V DH AH <SIL> K OW S T AH F AO R D AH D HH AE V IH NG B IH N F AW N D DH AH <SIL> SH IH P <SIL> B R AO T <SIL> AH P <SIL> HH IY R <SIL>	0
librilm-9932	librilm	147	<SIL> AH B EH T ER AH N D <SIL> B OW L D ER <SIL> K AA R D P L EY ER DH AE N L AO R D B EH L IH NG ER N EH V ER <SIL> HH EH L D AH T R AH M P <SIL>	0
librilm-9933	librilm	164	<SIL> AH <SIL> B EH T ER <SIL> AH N D M AO R K R IH S CH AH N <SIL> M AE N S K EH R S L IY EH V ER B R IY DH D <SIL> DH AE N <SIL> JH OW S AH F AE D AH S AH N <SIL>	0
librilm-9934	librilm	98	<SIL> AH <SIL> B EH T ER AH N D M AO R K AH N S IH S T AH N T W UH M AH N N EH V ER L AY V D <SIL>	0
librilm-9935	librilm	442	<SIL> AH B EH T ER <SIL> AH N D M AO R AA N ER AH B AH L <SIL> AO F ER IH NG IH Z M EY D T UW AW ER M AE S T ER <SIL> IH N M IH N AH S T R IY T UW DH AH <SIL> P UH R IH N IH K S T EH N D IH NG DH AH N AA L AH JH AH V HH IH Z N EY M IH N <SIL> DH AH P R AE K T AH S AH V DH AH V ER CH UW Z <SIL> B AY W IH CH DH AE T N EY M <SIL> IH Z HH AE L OW D <SIL> DH AE N IH N M AH T IH R IY AH L P R EH Z AH N T S T UW <SIL> HH IH Z T EH M P AH L <SIL>	0
librilm-9936	librilm	555	<SIL> AH B EH T ER AH N D M AO R <SIL> S P IY D IY P L AE N W UH D P ER HH AE P S <SIL> HH AE V B IH N T UW <SIL> S IY K <SIL> AW T <SIL> W AH N AH V Z UW M AH L AA K S W AA R OW Z EY D Z D IY <SIL> K AE M P R IH L EY T T UW HH IH M HH IH Z R IY S AH N T <SIL> AE D V EH N CH ER Z P R OW D UW S R IY T AH Z <SIL> L EH T ER IH N K ER AO B ER EY SH AH N <SIL> AH V HH IH Z V ER AE S IH T IY <SIL> AH N D R IH K W EH S T HH IH M <SIL> T UW F AO R W ER D IH T AO R P R AH V AY D <SIL> HH IH M W IH DH AH <SIL> HH AO R S T UW T EY K IH T HH IH M S EH L F <SIL>	0
librilm-9937	librilm	142	<SIL> AH B EH T ER AH N D <SIL> W AY Z ER P R IH N S SH AE L ER AY Z HH UW SH AE L R IH S T AO R P R AA S P EH R AH T IY T UW JH UW D AH <SIL>	0
librilm-9938	librilm	453	<SIL> AH B EH T ER AE N S ER IH Z DH AE T DH AH <SIL> K AO R T <SIL> HH AE Z B IH F AO R HH AE N D S T R AO NG P R IY Z AH M P T IH V EH V AH D AH N S <SIL> AH V DH AH K R AY M <SIL> AH N D DH AE T AH P R IH Z AH N ER IH Z N AA T P UH T T UW DH AH T AO R CH ER AH N T IH L IH T HH AE Z B IH N <SIL> W EH L <SIL> AE S ER T EY N D <SIL> B AY T EH S T AH M OW N IY AH B T EY N D EH L S W EH R DH AE T <SIL> HH IY IH Z AH G R EY T <SIL> AH F EH N D ER <SIL>	0
librilm-9939	librilm	151	<SIL> AH B EH T ER AE N T IH D OW T T UW DH AH S T OW N W IH DH IH N P EH R IH S IH Z T UW B IY <SIL> F AW N D IH N DH AH S T OW N ER AW N D IH T <SIL>	0
librilm-9940	librilm	139	<SIL> AH <SIL> B EH T ER AH P AA L AH JH IY L AY Z IH N DH AH <SIL> T EH K S T AH P R EH SH AH N M AE K IH TH AH W AY Z M AE N M AE D <SIL>	0
librilm-9941	librilm	355	<SIL> AH B EH T ER <SIL> AH P AA L AH JH IY M EY <SIL> B IY F AW N D <SIL> IH N DH AH <SIL> IH M AH T EY T IH NG DH AH <SIL> K AH N F EH SH AH N AH V <SIL> AA N AH S T B EH N AH D IH K T DH AE T W EH N <SIL> HH IY S EH D <SIL> HH IY W UH D D AY AH B AE CH AH L ER HH IY D IH D N AA T TH IH NG K HH IY <SIL> SH UH D L AY V <SIL> T UW B IY M EH R IY D <SIL>	0
librilm-9942	librilm	303	<SIL> AH B EH T ER AH P OY N T AH D AA R M IY K AH N S IH S T IH NG AH V DH AH V EH R IY F L AW ER AH V SH IH V AH L R IY <SIL> AH V Y UH R AH P HH AE D IH N DH AH <SIL> M IY N T AY M <SIL> AH S EH M B AH L D T UW <SIL> F AA L OW <SIL> DH AH S EY M P AE TH DH OW IH N AH D IH F ER AH N T M AE N ER <SIL>	0
librilm-9943	librilm	163	<SIL> AH B EH T ER <SIL> AA R G Y AH M AH N T IH N F EY V ER AH V <SIL> HH AA R T F ER D <SIL> IH Z DH AE T TH R IY <SIL> R EY L R OW D Z S EH N T ER DH EH R <SIL>	0
librilm-9944	librilm	106	<SIL> AH <SIL> B EH T ER <SIL> AA R M ER ER N EH V ER L EY D HH AE M ER <SIL> AA N <SIL> AE N V AH L <SIL>	0
librilm-9945	librilm	316	<SIL> AH B EH T ER AA R M IY M AE N <SIL> F AO R <SIL> M AE N P R AA B AH B L IY N EH V ER F EY S T AE N EH N AH M IY <SIL> DH AE N DH AH W AH N K AH M AE N D AH D B AY <SIL> JH EH N ER AH L T EY L ER IH N DH AH <SIL> ER L IY AH S T T UW EH N G EY JH M AH N T S AH V <SIL> DH AH M EH K S AH K AH N <SIL> W AO R <SIL>	0
librilm-9946	librilm	144	<SIL> AH B EH T ER AA R T DH AE N <SIL> DH AE T AH V IY JH AH P T <SIL> HH AE Z T EY K AH N F IH R AH N D K ER AH P SH AH N AW T AH V IH T <SIL>	0
