id	speaker	n_frames	tgt_text	unit
librilm-9947	librilm	116	<SIL> AH <SIL> B EH T ER AH S AO R T IH D <SIL> K AH P AH L <SIL> Y UW <SIL> K UH D F AY N D <SIL> N OW W EH R <SIL>	0
librilm-9948	librilm	235	<SIL> AH B EH T ER AH T ER N IY F AO R DH AH P ER P AH S AH Z T UW W IH CH <SIL> HH IH Z <SIL> L AY F W AA Z D IH V OW T AH D <SIL> D IH D N AA T IH G Z IH S T <SIL> IH N <SIL> L AH N D AH N DH AE N M IH S T ER K AE M P D ER AW N <SIL>	0
librilm-9949	librilm	133	<SIL> AH B EH T ER B AA R G AH N W AA Z D R IH V AH N IH N <SIL> DH AH W IH R IY <SIL> S K W EH R DH AE N EH N IY W EH R EH L S <SIL>	0
librilm-9950	librilm	93	<SIL> AH B EH T ER <SIL> B EY S AH S <SIL> F AO R F R EH N D SH IH P K UH D N AA T B IY <SIL>	0
librilm-9951	librilm	112	<SIL> AH <SIL> B EH T ER B AE TH HH IY R <SIL> R IH T ER N D R OW L Z AH N D N AH TH IH NG T UW <SIL> P EY <SIL>	0
librilm-9952	librilm	64	<SIL> AH <SIL> B EH T ER B EH D <SIL> AY N EH V ER HH AE D <SIL>	0
librilm-9953	librilm	128	<SIL> AH <SIL> B EH T ER <SIL> B EH D <SIL> R AA K P R IH N S AH P AH L K AE N HH AA R D L IY <SIL> B IY IH M AE JH AH N D <SIL>	0
librilm-9954	librilm	331	<SIL> AH <SIL> B EH T ER B IH G IH N IH NG K UH D N AA T B IY M EY D DH AE N <SIL> W IH DH <SIL> DH AH <SIL> HH IH R OW Z AH V HH OW M S T EH D AH N D <SIL> IH T IH Z AH S P EH SH L IY F IH T IH NG DH AE T DH AH F ER S T <SIL> IH M P AH T AH S SH UH D B IY G IH V AH N IH N K AH N EH K SH AH N W IH DH DH IH S HH IH S T ER IY <SIL>	0
librilm-9955	librilm	75	<SIL> AH B EH T ER B IH HH EY V D L AE D <SIL> D AH Z AH N T S T EH P <SIL>	0
librilm-9956	librilm	110	<SIL> AH B EH T ER B AA D IY AH V HH EH L P ER Z K UH D S K EH R S L IY B IY G AA T AH N T AH G EH DH ER <SIL>	0
librilm-9957	librilm	94	<SIL> AH <SIL> B EH T ER B UH K F AO R <SIL> B OY Z HH AE Z N EH V ER B IH N R IH T AH N <SIL>	0
librilm-9958	librilm	86	<SIL> AH B EH T ER B UH K <SIL> DH AE N AY SH AE L EH V ER R AY T W AA Z DH EH R <SIL>	0
librilm-9959	librilm	97	<SIL> AH B EH T ER B UH K <SIL> DH AE N <SIL> DH AH P R IH Z AH N ER AH V <SIL> Z EH N D AH <SIL>	0
librilm-9960	librilm	131	<SIL> AH B EH T ER B UH K DH AE N DH IH S AA N P EH R IH S IH N T AY M <SIL> HH AE Z N AA T CH AE N S T <SIL> IH N AW ER W EY <SIL>	0
librilm-9961	librilm	65	<SIL> AH <SIL> B EH T ER B AA T AH L DH AE N DH AH F ER S T <SIL>	0
librilm-9962	librilm	93	<SIL> AH B EH T ER B AW N D ER IY W UH D B IY <SIL> DH AH <SIL> R IH V ER IH T S EH L F <SIL>	0
librilm-9963	librilm	214	<SIL> AH B EH T ER B OY T UW <SIL> AE N <SIL> AW L D <SIL> F AA DH ER DH AE T S G UH D <SIL> F AO R N AH TH IH NG <SIL> N AW <SIL> IH N DH IH S W ER L D <SIL> N EH V ER W AA Z P L EY Z Y AO R <SIL> HH AH N ER <SIL>	0
librilm-9964	librilm	249	<SIL> AH <SIL> B EH T ER B R EY V ER S OW L JH ER <SIL> AO R AH <SIL> M AO R F EY TH F AH L F R EH N D N OW <SIL> M AE N EH V ER <SIL> N UW DH AE N CH AA R L Z <SIL> D IY N T R UW P <SIL> AH <SIL> S IH K S TH M IH SH IH G AH N K AE V AH L R IY <SIL>	0
librilm-9965	librilm	33	<SIL> AH B EH T ER B R EY K <SIL>	0
librilm-9966	librilm	255	<SIL> AH B EH T ER B R AY T ER <SIL> B OY N EH V ER <SIL> D R UW B R EH TH HH IY S ER V D Y UW F EY TH F AH L <SIL> AE Z DH AH <SIL> D EY W AA Z L AO NG <SIL> AH N D Y UW T R IY T AH D <SIL> HH IH M SH EY M F AH L <SIL> W ER S AH N <SIL> AH S L EY V <SIL>	0
librilm-9967	librilm	197	<SIL> AH <SIL> B EH T ER B R AH DH ER <SIL> N EH V ER L AY V D B AH T <SIL> HH IY <SIL> M EY <SIL> HH AE V B IH N <SIL> T UW R EH D IY T UW F AO L IH N W IH DH AH DH ER P IY P AH L Z V Y UW Z <SIL>	0
librilm-9968	librilm	187	<SIL> AH B EH T ER B R AO T AH P B EH T ER D IH S P OW Z D <SIL> Y UW TH DH AE N Y UW W ER W IH DH <SIL> AH HH AY ER S EH N S AH V <SIL> HH AH N ER <SIL> K UH D N AA T B IY F AW N D <SIL>	0
librilm-9969	librilm	97	<SIL> AH B EH T ER <SIL> K AE P T AH N D OW N T W AO K DH AH D EH K <SIL> Y AO R HH AH N ER <SIL>	0
librilm-9970	librilm	157	<SIL> AH B EH T ER K AE P T AH N T UW L EH D AH B EH T ER <SIL> S OW L JH ER T UW S T R AY K W IH DH DH AH <SIL> S AO R D <SIL> AY N EH V ER <SIL> S AO <SIL>	0
librilm-9971	librilm	40	<SIL> AH <SIL> B EH T ER CH AE N S <SIL>	0
librilm-9972	librilm	144	<SIL> AH B EH T ER CH AE N S AH W EY T S <SIL> DH IY <SIL> SH IY M IY T S DH AH <SIL> F OW M IY T S W EH N SH AE L SH IY <SIL> R IH T ER N <SIL>	0
librilm-9973	librilm	141	<SIL> AH <SIL> B EH T ER CH AE N S <SIL> F AO R AH <SIL> SH AA T K UH D <SIL> HH AA R D L IY HH AE V <SIL> B IH N AE S K T <SIL> F AO R <SIL>	0
librilm-9974	librilm	561	<SIL> AH B EH T ER <SIL> CH AE N S F AO R <SIL> HH IH Z P AW ER Z <SIL> AH K ER D <SIL> IH N DH AH AH S EH M B L IY AH V <SIL> DH AE T Y IH R IH N K AH N EH K SH AH N W IH DH AH P L ER AE L IH T IY K EY S W EH R <SIL> DH AH W AH N D ER F AH L D IH S P L EY AH V HH IH Z T AE L AH N T S K AH N T R IH B Y UW T IH D M AH CH T UW DH AH P AE S IH NG AH V AE N EH N AE K T M AH N T DH AE T N OW P R AH F EH S ER SH IH P IH N <SIL> AH Y UW N AH V ER S AH T IY <SIL> SH UH D <SIL> B IY HH EH L D IH N K AH N EH K SH AH N W IH DH <SIL> AH K AH N T R IY CH AA R JH <SIL>	0
librilm-9975	librilm	76	<SIL> AH B EH T ER CH AE N S F AO R Y UW <SIL> IH Z <SIL> K AH M IH NG <SIL>	0
librilm-9976	librilm	56	<SIL> AH B EH T ER <SIL> CH AE N S <SIL> M EH R IY <SIL>	0
librilm-9977	librilm	154	<SIL> AH B EH T ER CH AE N S S EH D M IH S T ER HH Y UW M <SIL> G R IH M L IY DH AE N <SIL> W IY HH AE V AH V K AE CH IH NG <SIL> DH AH OW K AA P IY <SIL>	0
librilm-9978	librilm	316	<SIL> AH B EH T ER <SIL> CH AE N S DH AH B AE L AH W EY N K AH N T IH N Y UW D AH V DH AH F Y UW P L EY S AH Z OW P AH N IH N DH AH AY L AH N D DH AE N IH F <SIL> HH IY W ER B R AO T AH P AE T DH AH M AE NG K S <SIL> B AA R OW N L IY W IH CH <SIL> W UH D K AA S T M IY L EH S DH AE N HH AE F <SIL> AE Z M AH CH <SIL>	0
librilm-9979	librilm	286	<SIL> AH B EH T ER K EH R IH K T ER HH AE Z <SIL> B IH N G IH V AH N T UW DH AH R EH G Y AH L ER T R UW P S <SIL> F AO R <SIL> DH EH R IH N D EH V ER Z T UW <SIL> D IH S P ER S DH AH P IY P AH L <SIL> W IH TH AW T <SIL> W UW N D IH NG AO R AH DH ER W AY Z IH N JH ER IH NG DH EH M <SIL>	0
librilm-9980	librilm	129	<SIL> AH B EH T ER CH AY L D N EH V ER B R IY DH D <SIL> S EH D D AO L T AH N D R IH NG K IH NG AO F <SIL> HH IH Z G L AE S <SIL>	0
librilm-9981	librilm	145	<SIL> AH B EH T ER <SIL> S IH T AH Z AH N D AH Z N AA T IH G Z IH S T AH N D <SIL> AW ER F R EH N D SH IH P HH AE Z N EH V ER F AA L T ER D <SIL>	0
librilm-9982	librilm	306	<SIL> AH B EH T ER K L EY M <SIL> M AY T B IY <SIL> R EY Z D AH P IH N Y AO R G R EY S IH Z <SIL> OW N <SIL> P ER S AH N S EH D DH AH ER L <SIL> AH V AA K S F ER D IH F Y UW <SIL> W IH L AH F AO R D M AA R G ER IH T <SIL> AH V <SIL> AE N JH UW DH AH <SIL> S UW K AO R SH IY R IY K W AY ER Z B AY M IY <SIL>	0
librilm-9983	librilm	222	<SIL> AH B EH T ER K L AE S AH V M EH N S IY M T UW <SIL> B IY JH OY N IH NG <SIL> DH AH K AH L ER Z DH IY Z D EY Z AH N D DH EY AA R K AO L IH NG DH EH R <SIL> D IH F AE M ER Z T UW AH S T R IH K T AH K AW N T IH NG <SIL>	0
librilm-9984	librilm	341	<SIL> AH <SIL> B EH T ER K L AE S AH F AH K EY SH AH N B EY S T AA N <SIL> M AO R K EH R F AH L S T AH D IY AH V DH AH HH IH S T ER IY AH V DH AH IH NG G L IH SH V ER B <SIL> D IH V AY D Z <SIL> V ER B Z <SIL> IH N T UW DH OW Z AH V <SIL> DH AH W IY K AH N D <SIL> DH OW Z AH V <SIL> DH AH <SIL> S T R AO NG K AA N JH AH G EY SH AH N Z <SIL>	0
librilm-9985	librilm	454	<SIL> AH <SIL> B EH T ER K L AE S AH F AH K EY SH AH N IH Z IH N T UW DH AH S OW SH AH L <SIL> IH N K L UW D IH NG <SIL> G UH D W IH L L AH V AH V R EH P Y AH T EY SH AH N D IH Z AY ER <SIL> AH V <SIL> AE M IH T IY R IH L IH JH AH N D IH S OW SH AH L D IH S P L EH ZH ER S EH L F R AH G AA R D IH NG F IH Z IH K AH L D IH Z AY ER P EH K Y UW N IY EH R IY IH N T R AH S T L AH V <SIL> AH V <SIL> P AW ER <SIL> S EH L F <SIL> P R EH Z ER V EY SH AH N <SIL>	0
librilm-9986	librilm	269	<SIL> AH B EH T ER <SIL> K AH M IY D IY AH N Y UW M EY B IY B AH T HH IY HH AE Z N AA T Y AO R <SIL> S K R UW P AH L Z Y AO R S EH N S AH T IH V N AH S AH N D IH Z DH EH R F AO R M AO R <SIL> D EH K S T ER AH S AE T D R AO IH NG DH AH K R AW D Z AH T EH N SH AH N <SIL>	0
librilm-9987	librilm	237	<SIL> AH B EH T ER K AH M AE N D ER AY D N EH V ER D IH Z AY ER T UW <SIL> S ER V AH N D HH UW N OW Z B AH T AY <SIL> M EY <SIL> HH EH L P T UW S EH T <SIL> AH P DH AY <SIL> S T AE N D IH NG R IH G IH NG IH N AH N AH DH ER W ER L D <SIL>	0
librilm-9988	librilm	789	<SIL> AH B EH T ER <SIL> K AA M EH N T K UH D N AA T <SIL> B IY M EY D AA N W AH T <SIL> IH Z R IY K W AY ER D T UW P ER F IH K T M AE N AH N D <SIL> P L EY S <SIL> HH IH M <SIL> IH N DH AE T <SIL> S UW P IH R IY ER P AH Z IH SH AH N F AO R <SIL> W IH CH <SIL> HH IY W AA Z D IH Z AY N D DH AE N <SIL> B AY DH AH IH N T ER P R IH T EY SH AH N AH V B EY K AH N <SIL> AH P AA N DH AH L EH JH AH N D Z <SIL> AH V <SIL> DH AH S IH R AH N <SIL> K OW S T W EH N DH AH W AY Z Y UW L IH S IY Z P AE S T S EH Z HH IY HH IY <SIL> K AA Z D HH IH Z M EH R AH N ER Z <SIL> T UW <SIL> S T AA P <SIL> DH EH R <SIL> IH R Z W IH DH <SIL> W AE K S N OW IH NG DH EH R W AA Z IH N DH EH M N OW <SIL> P AW ER <SIL> T UW R IH Z IH S T <SIL> DH AH L UH R <SIL> AH V DH AE T V AH L AH P CH AH W AH S S AO NG <SIL>	0
librilm-9989	librilm	315	<SIL> AH B EH T ER K AH M P AE N Y AH N DH AE N HH ER <SIL> W AY T K IH T AH N <SIL> AO R HH ER <SIL> F EY V ER IH T <SIL> N IH R OW <SIL> AO R <SIL> IY V IH N <SIL> HH ER <SIL> F EY TH F AH L F R EH N D P IY EH R DH AH S EY N T B ER N AA R D AA K Y AH P AY D DH AH AH DH ER V EH L V AH T R AA K IH NG CH EH R <SIL>	0
librilm-9990	librilm	155	<SIL> AH B EH T ER K AH M P EH R AH S AH N IH Z DH AE T W IH CH M IH S T ER G AA S HH AE Z <SIL> M EY D W IH DH S IH D N IY D OW B AH L Z B AO L D ER <SIL>	0
librilm-9991	librilm	227	<SIL> AH B EH T ER K AH N S EH P SH AH N AH V L AE NG G W AH JH K UH D N AA T HH AE V B IH N <SIL> F AO R M D <SIL> IH N P L EY T OW Z EY JH DH AE N DH AE T W IH CH HH IY AE T R IH B Y UW T S T UW <SIL> S AA K R AH T IY Z <SIL>	0
librilm-9992	librilm	130	<SIL> AH <SIL> B EH T ER <SIL> K AH N D IH SH AH N <SIL> AH V <SIL> TH IH NG Z N AW <SIL> P R IY Z EH N T AH D IH T S EH L F <SIL>	0
librilm-9993	librilm	99	<SIL> AH B EH T ER K AH N D AH K T ER SH IY K UH D <SIL> N AA T <SIL> HH AE V <SIL> W IH SH T <SIL>	0
librilm-9994	librilm	168	<SIL> AH B EH T ER K AH N D AH K T ER <SIL> W UH D B IY DH AH M EH T AH L <SIL> K AH V ER IH NG AH V DH AH R UW F W EH N S AH CH M AH T IH R IY AH L IH Z Y UW Z D <SIL>	0
librilm-9995	librilm	463	<SIL> AH B EH T ER K AA N S T AH T UW T AH D <SIL> B OY <SIL> W UH D S ER T AH N L IY HH AE V P R AA F AH T AH D AH N D ER M AY IH N T EH L AH JH AH N T T UW T ER Z W IH DH DH EH R S AY AH N T IH F IH K AE P ER AE T AH S AH N D W UH D D AW T L AH S HH AE V F AW N D DH AH F AH N AA M AH N AH AH V IH L EH K T R IH S AH T IY AH N D M AE G N AH T IH Z AH M <SIL> AE Z F AE S AH N EY T IH NG AE Z AY <SIL> W AA Z EH V ER IY TH ER Z D EY AH SH UH R D DH EY W ER <SIL>	0
librilm-9996	librilm	81	<SIL> AH B EH T ER K AH N T R IY <SIL> F AO R HH IH M <SIL> DH AE N DH IH S <SIL>	0
librilm-9997	librilm	415	<SIL> AH <SIL> B EH T ER K AH N T R IY W AA Z R IY CH T AE Z <SIL> W IY N IH R D DH AH R IH V ER AH N D IH T <SIL> W AA Z AH <SIL> P L EH Z AH N T S AY T T UW S IY DH AH T AH M B AH L IH NG S T R IY M <SIL> AH V <SIL> DH AH <SIL> L EH S ER T UW G EY L AH AH N D T UW <SIL> F AY N D <SIL> IH N W AH N <SIL> V AE L IY DH AH P R IY T AH N S AH V AH G AA R D AH N <SIL> AH N D AH HH AW S AH M AH NG <SIL> T R IY Z <SIL>	0
librilm-9998	librilm	370	<SIL> AH B EH T ER K AO R S <SIL> AE T DH AH R IH NG K UH D N AA T <SIL> B IY R AH N DH AE N <SIL> S ER <SIL> JH AO S L IH N HH AE TH <SIL> P ER F AO R M D <SIL> N AO R K UH D G R EY T ER <SIL> V AE N T AH JH B IY G EY N D <SIL> IH N DH AH <SIL> JH AW S T S DH AE N HH IY HH AE TH AH B T EY N D <SIL> OW V ER <SIL> DH AH <SIL> M AA R K IY AH V B AH K IH NG HH AE M <SIL>	0
